component,values,area
Fuel,0.0,1
Shedding,0.0,1
Dumping,0.0,1
Water,0.0,1
Start,400.0,1
Fuel,0.0,1
Shedding,0.0,1
Dumping,0.0,1
Water,0.0,1
Start,800.0,1
Fuel,2921.75,1
Shedding,0.0,1
Dumping,0.0,1
Water,0.0,1
Start,1200.0,1
Fuel,5984.71,1
Shedding,0.0,1
Dumping,0.0,1
Water,0.0,1
Start,1600.0,1
Fuel,5984.71,1
Shedding,0.0,1
Dumping,0.0,1
Water,0.0,1
Start,2000.0,1
Fuel,5984.71,1
Shedding,0.0,1
Dumping,0.0,1
Water,0.0,1
Start,2400.0,1
Fuel,8891.45,1
Shedding,0.0,1
Dumping,0.0,1
Water,0.0,1
Start,2800.0,1
Fuel,11843.77,1
Shedding,0.0,1
Dumping,0.0,1
Water,0.0,1
Start,3200.0,1
Fuel,11843.77,1
Shedding,0.0,1
Dumping,0.0,1
Water,0.0,1
Start,3600.0,1
Fuel,11843.77,1
Shedding,0.0,1
Dumping,0.0,1
Water,0.0,1
Start,4000.0,1
Fuel,0.0,2
Shedding,0.0,2
Dumping,4438.38,2
Water,0.0,2
Start,0.0,2
Fuel,0.0,2
Shedding,0.0,2
Dumping,4438.38,2
Water,0.0,2
Start,0.0,2
Fuel,0.0,2
Shedding,0.0,2
Dumping,4438.38,2
Water,0.0,2
Start,0.0,2
Fuel,0.0,2
Shedding,0.0,2
Dumping,4438.38,2
Water,0.0,2
Start,0.0,2
Fuel,0.0,3
Shedding,0.0,3
Dumping,0.0,3
Water,0.0,3
Start,0.0,3
Fuel,0.0,3
Shedding,0.0,3
Dumping,0.0,3
Water,0.0,3
Start,0.0,3
Fuel,0.0,3
Shedding,0.0,3
Dumping,0.0,3
Water,620.0,3
Start,0.0,3
Fuel,0.0,3
Shedding,0.0,3
Dumping,0.0,3
Water,620.0,3
Start,0.0,3
Fuel,0.0,3
Shedding,0.0,3
Dumping,0.0,3
Water,620.0,3
Start,0.0,3
Fuel,0.0,3
Shedding,0.0,3
Dumping,0.0,3
Water,2060.0,3
Start,0.0,3
Fuel,0.0,3
Shedding,0.0,3
Dumping,0.0,3
Water,-26873.68,3
Start,0.0,3
Fuel,0.0,3
Shedding,0.0,3
Dumping,0.0,3
Water,-26873.68,3
Start,0.0,3
Fuel,0.0,3
Shedding,0.0,3
Dumping,0.0,3
Water,3794.3199999999997,3
Start,0.0,3
Fuel,0.0,3
Shedding,0.0,3
Dumping,0.0,3
Water,4959.599999999999,3
Start,0.0,3
Fuel,0.0,3
Shedding,0.0,3
Dumping,0.0,3
Water,5163.839999999999,3
Start,0.0,3
Fuel,0.0,3
Shedding,0.0,3
Dumping,0.0,3
Water,5163.839999999999,3
Start,0.0,3
Fuel,0.0,3
Shedding,0.0,3
Dumping,0.0,3
Water,5163.839999999999,3
Start,0.0,3
Fuel,0.0,3
Shedding,0.0,3
Dumping,0.0,3
Water,5163.839999999999,3
Start,0.0,3
Fuel,0.0,3
Shedding,0.0,3
Dumping,0.0,3
Water,1038.9899999999989,3
Start,0.0,3
Fuel,0.0,3
Shedding,0.0,3
Dumping,0.0,3
Water,1038.9899999999989,3
Start,0.0,3
Fuel,0.0,3
Shedding,0.0,3
Dumping,0.0,3
Water,1877.639999999999,3
Start,0.0,3
Fuel,0.0,3
Shedding,0.0,3
Dumping,0.0,3
Water,1877.639999999999,3
Start,0.0,3
Fuel,0.0,3
Shedding,0.0,3
Dumping,0.0,3
Water,11510.34,3
Start,0.0,3
Fuel,0.0,3
Shedding,0.0,3
Dumping,0.0,3
Water,8587.76,3
Start,0.0,3
Fuel,0.0,3
Shedding,0.0,3
Dumping,0.0,3
Water,14099.51,3
Start,0.0,3
Fuel,0.0,3
Shedding,0.0,3
Dumping,0.0,3
Water,14099.51,3
Start,0.0,3
Fuel,0.0,3
Shedding,0.0,3
Dumping,0.0,3
Water,17167.36,3
Start,0.0,3
Fuel,0.0,3
Shedding,0.0,3
Dumping,0.0,3
Water,17281.64,3
Start,0.0,3
Fuel,0.0,3
Shedding,0.0,3
Dumping,0.0,3
Water,17281.64,3
Start,0.0,3
